city,count,ratio
F047,25780,0.0598610517712184
P949,24682,0.05731150038080731
K115,24608,0.05713967269147177
F379,24523,0.05694230304831609
Y232,24378,0.05660561365705051
B170,23792,0.0552449241171772
Y633,23767,0.05518687422213141
N806,22962,0.05331766760165697
O198,22958,0.05330837961844965
S959,22340,0.051873386212917726
R892,22249,0.05166208459495105
V932,22185,0.051513476863633834
S542,22154,0.05144149499377705
V449,22091,0.05129520925826166
D022,597,0.0013862314936934593
K445,594,0.0013792655062879646
D090,590,0.0013699775230806384
A802,530,0.0012306577749707428
P050,300,0.0006965987405494771
O824,300,0.0006965987405494771
F301,300,0.0006965987405494771
Y964,300,0.0006965987405494771
R858,300,0.0006965987405494771
O238,300,0.0006965987405494771
J309,300,0.0006965987405494771
Y253,300,0.0006965987405494771
Z490,300,0.0006965987405494771
O445,300,0.0006965987405494771
F861,300,0.0006965987405494771
M120,300,0.0006965987405494771
