company,company_activity_count,company_activity_norm
company_907432,485,1.0
company_390847,372,0.7670103092783506
company_648838,366,0.7546391752577319
company_678433,364,0.7505154639175258
company_802784,290,0.5979381443298969
company_639598,243,0.5010309278350515
company_239143,220,0.4536082474226804
company_623498,203,0.41855670103092785
company_387215,197,0.4061855670103093
company_096263,189,0.38969072164948454
company_839733,179,0.36907216494845363
company_207326,178,0.3670103092783505
company_166885,175,0.36082474226804123
company_425264,168,0.3463917525773196
company_161512,157,0.3237113402061856
company_645480,147,0.3030927835051546
company_877473,144,0.29690721649484536
company_118908,139,0.2865979381443299
company_269370,136,0.2804123711340206
company_040338,135,0.27835051546391754
company_268950,133,0.27422680412371137
company_658637,131,0.27010309278350514
company_635276,128,0.2639175257731959
company_149807,125,0.25773195876288657
company_023398,124,0.2556701030927835
company_388086,121,0.24948453608247423
company_105747,120,0.24742268041237114
company_491944,120,0.24742268041237114
company_645672,118,0.24329896907216494
company_673639,113,0.2329896907216495
company_559417,113,0.2329896907216495
company_679820,111,0.2288659793814433
company_350586,110,0.2268041237113402
company_191188,107,0.22061855670103092
company_249184,106,0.21855670103092784
company_071996,104,0.21443298969072164
company_054138,103,0.21237113402061855
company_492310,102,0.21030927835051547
company_611060,101,0.20824742268041238
company_358953,98,0.2020618556701031
company_372161,97,0.2
company_704439,95,0.1958762886597938
company_964473,93,0.19175257731958764
company_017147,93,0.19175257731958764
company_278586,92,0.18969072164948453
company_818708,89,0.18350515463917524
company_837846,89,0.18350515463917524
company_648317,87,0.17938144329896907
company_041643,87,0.17938144329896907
company_227658,86,0.177319587628866
company_619938,84,0.1731958762886598
company_839289,83,0.1711340206185567
company_657693,79,0.16288659793814433
company_228017,78,0.16082474226804125
company_948373,78,0.16082474226804125
company_081578,77,0.15876288659793814
company_746180,77,0.15876288659793814
company_007928,76,0.15670103092783505
company_398972,76,0.15670103092783505
company_437153,73,0.15051546391752577
company_812446,73,0.15051546391752577
company_629798,72,0.14845360824742268
company_890084,71,0.1463917525773196
company_596988,71,0.1463917525773196
company_841509,70,0.14432989690721648
company_837692,70,0.14432989690721648
company_064805,68,0.1402061855670103
company_728898,67,0.13814432989690723
company_171507,67,0.13814432989690723
company_552890,66,0.1360824742268041
company_484930,66,0.1360824742268041
company_769794,65,0.13402061855670103
company_359776,65,0.13402061855670103
company_911723,64,0.13195876288659794
company_848158,63,0.12989690721649486
company_396394,62,0.12783505154639174
company_519197,60,0.12371134020618557
company_263645,59,0.12164948453608247
company_193834,58,0.11958762886597939
company_282178,57,0.11752577319587629
company_109802,56,0.1154639175257732
company_441864,55,0.1134020618556701
company_259917,55,0.1134020618556701
company_189656,55,0.1134020618556701
company_185680,54,0.11134020618556702
company_917359,54,0.11134020618556702
company_530087,54,0.11134020618556702
company_696861,53,0.10927835051546392
company_938303,52,0.10721649484536082
company_185096,51,0.10515463917525773
company_096276,51,0.10515463917525773
company_736299,51,0.10515463917525773
company_958196,50,0.10309278350515463
company_234588,50,0.10309278350515463
company_884504,50,0.10309278350515463
company_683517,50,0.10309278350515463
company_844340,50,0.10309278350515463
company_343751,50,0.10309278350515463
company_269594,49,0.10103092783505155
company_294283,49,0.10103092783505155
company_676673,49,0.10103092783505155
company_994765,48,0.09896907216494845
company_574552,47,0.09690721649484536
company_614944,47,0.09690721649484536
company_507887,46,0.09484536082474226
company_909827,46,0.09484536082474226
company_072626,45,0.09278350515463918
company_891208,44,0.09072164948453608
company_090856,44,0.09072164948453608
company_365031,44,0.09072164948453608
company_843227,44,0.09072164948453608
company_291752,44,0.09072164948453608
company_000456,44,0.09072164948453608
company_804729,44,0.09072164948453608
company_327280,43,0.088659793814433
company_489957,43,0.088659793814433
company_994269,42,0.0865979381443299
company_783415,42,0.0865979381443299
company_232046,42,0.0865979381443299
company_630165,42,0.0865979381443299
company_999909,42,0.0865979381443299
company_139025,42,0.0865979381443299
company_973819,42,0.0865979381443299
company_413727,42,0.0865979381443299
company_506722,42,0.0865979381443299
company_318292,42,0.0865979381443299
company_761136,41,0.08453608247422681
company_930889,41,0.08453608247422681
company_329473,41,0.08453608247422681
company_889227,41,0.08453608247422681
company_819185,41,0.08453608247422681
company_005190,40,0.08247422680412371
company_920732,40,0.08247422680412371
company_027984,40,0.08247422680412371
company_815048,40,0.08247422680412371
company_463427,40,0.08247422680412371
company_280572,40,0.08247422680412371
company_428362,39,0.08041237113402062
company_236847,39,0.08041237113402062
company_478516,39,0.08041237113402062
company_849095,39,0.08041237113402062
company_594614,39,0.08041237113402062
company_393756,38,0.07835051546391752
company_596667,38,0.07835051546391752
company_537241,38,0.07835051546391752
company_896513,38,0.07835051546391752
company_091883,38,0.07835051546391752
company_481113,38,0.07835051546391752
company_878922,38,0.07835051546391752
company_660840,38,0.07835051546391752
company_900481,37,0.07628865979381444
company_074282,37,0.07628865979381444
company_239887,37,0.07628865979381444
company_575041,37,0.07628865979381444
company_635237,37,0.07628865979381444
company_639070,37,0.07628865979381444
company_221605,36,0.07422680412371134
company_721248,36,0.07422680412371134
company_805342,36,0.07422680412371134
company_883752,36,0.07422680412371134
company_366182,36,0.07422680412371134
company_861489,35,0.07216494845360824
company_216435,35,0.07216494845360824
company_964538,35,0.07216494845360824
company_008897,35,0.07216494845360824
company_443280,35,0.07216494845360824
company_869169,35,0.07216494845360824
company_652577,35,0.07216494845360824
company_305594,34,0.07010309278350516
company_119643,34,0.07010309278350516
company_749430,34,0.07010309278350516
company_351954,34,0.07010309278350516
company_207887,34,0.07010309278350516
company_621258,33,0.06804123711340206
company_739142,33,0.06804123711340206
company_295423,33,0.06804123711340206
company_587922,33,0.06804123711340206
company_570473,33,0.06804123711340206
company_342101,33,0.06804123711340206
company_188735,33,0.06804123711340206
company_691530,32,0.06597938144329897
company_254315,32,0.06597938144329897
company_471700,32,0.06597938144329897
company_668689,32,0.06597938144329897
company_658150,32,0.06597938144329897
company_322248,32,0.06597938144329897
company_742862,32,0.06597938144329897
company_891938,31,0.06391752577319587
company_583853,31,0.06391752577319587
company_859036,31,0.06391752577319587
company_536065,31,0.06391752577319587
company_610845,31,0.06391752577319587
company_126700,31,0.06391752577319587
company_718216,31,0.06391752577319587
company_094129,31,0.06391752577319587
company_732564,31,0.06391752577319587
company_142446,31,0.06391752577319587
company_153488,31,0.06391752577319587
company_228352,31,0.06391752577319587
company_648563,31,0.06391752577319587
company_907061,31,0.06391752577319587
company_968736,30,0.061855670103092786
company_303687,30,0.061855670103092786
company_022381,30,0.061855670103092786
company_407429,30,0.061855670103092786
company_819830,30,0.061855670103092786
company_081195,30,0.061855670103092786
company_438685,30,0.061855670103092786
company_073003,30,0.061855670103092786
company_450695,30,0.061855670103092786
company_125213,30,0.061855670103092786
company_923457,30,0.061855670103092786
company_811305,30,0.061855670103092786
company_085850,30,0.061855670103092786
company_295044,29,0.05979381443298969
company_608992,29,0.05979381443298969
company_305801,29,0.05979381443298969
company_920821,29,0.05979381443298969
company_382760,29,0.05979381443298969
