city,city_hot_count,city_hot_norm,is_high_activity
F047,25777,1.0,1
P949,24680,0.9574426814602165,1
K115,24600,0.9543391395430034,1
F379,24517,0.9511192148038949,1
Y232,24370,0.945416456531016,1
B170,23788,0.9228381890832913,1
Y633,23757,0.9216355665903713,1
N806,22959,0.8906777359661714,1
O198,22957,0.8906001474182411,1
S959,22336,0.866508903285875,1
R892,22246,0.8630174186290104,1
V932,22182,0.86053458509524,1
S542,22146,0.8591379912324941,1
V449,22090,0.856965511890445,1
D022,597,0.023160181557202158,1
K445,593,0.023005004461341506,1
D090,590,0.02288862163944602,1
A802,530,0.020560965201536253,1
P050,300,0.011638282189548823,1
Y964,300,0.011638282189548823,1
F861,300,0.011638282189548823,1
M120,300,0.011638282189548823,1
P741,300,0.011638282189548823,1
L122,300,0.011638282189548823,1
J309,300,0.011638282189548823,1
Z490,300,0.011638282189548823,1
R858,300,0.011638282189548823,1
O824,300,0.011638282189548823,1
O238,300,0.011638282189548823,1
M935,300,0.011638282189548823,1
D135,300,0.011638282189548823,1
H166,300,0.011638282189548823,1
F301,300,0.011638282189548823,1
X910,300,0.011638282189548823,1
O445,300,0.011638282189548823,1
Y253,300,0.011638282189548823,1
K227,299,0.01159948791558366,1
U989,299,0.01159948791558366,1
L867,299,0.01159948791558366,1
D575,299,0.01159948791558366,1
U553,299,0.01159948791558366,1
E333,299,0.01159948791558366,1
N430,299,0.01159948791558366,1
R716,299,0.01159948791558366,1
F410,299,0.01159948791558366,1
E180,299,0.01159948791558366,1
I227,299,0.01159948791558366,1
O910,299,0.01159948791558366,1
X990,299,0.01159948791558366,1
A655,299,0.01159948791558366,1
Q715,299,0.01159948791558366,1
Y031,299,0.01159948791558366,1
I606,299,0.01159948791558366,1
P258,299,0.01159948791558366,1
G905,299,0.01159948791558366,1
K535,299,0.01159948791558366,1
Y350,299,0.01159948791558366,1
V436,299,0.01159948791558366,1
L504,299,0.01159948791558366,1
J719,299,0.01159948791558366,1
V852,299,0.01159948791558366,1
J884,299,0.01159948791558366,1
D346,299,0.01159948791558366,1
P772,299,0.01159948791558366,1
L518,299,0.01159948791558366,1
S528,299,0.01159948791558366,1
