city,city_hot_norm_scaled,city_comprehensive_threshold_scaled,avg_yearly_salary_mid_scaled,avg_experience_rank_scaled,avg_education_rank_scaled,company_count_scaled,job_type_count_scaled,industry_type_count_scaled
F047,4632.909090909112,4.384199454084079,9.372326234331169,3.0711518629824983,4.2085133838972695,2334.5,608.1333333333333,10.625
P949,4433.454545454566,3.813624760684123,7.8574291174795485,2.9734116529504178,3.457838338288507,2281.0,571.3333333333334,10.875
K115,4418.909090909111,4.177543974523312,9.02202384030971,2.860367389910539,4.051035481153266,2239.125,574.2222222222222,10.875
F379,4403.818181818202,2.8268351908225897,2.9338603684090683,1.3725190310551885,3.093608715884902,2104.625,652.7111111111111,10.875
Y232,4377.090909090929,2.9194540486260503,4.871543131852588,2.0654939451283534,2.773765765254882,2219.0,577.9111111111112,10.625
B170,4271.272727272747,3.803977039971846,6.708538846511686,2.4882295840944013,3.760564695643069,2056.25,543.2,10.5
Y633,4265.636363636383,3.4859178826401975,4.219491091295229,2.1881742024699515,3.5023039339815503,2131.75,610.9777777777778,10.625
N806,4120.545454545473,3.1832285064819925,4.844182135660164,2.0916313322427684,3.1332251359678978,2034.75,498.6222222222222,10.125
O198,4120.181818181837,3.148411700768114,2.6080029344360525,1.8708452502683346,3.2275526679936144,2050.875,522.3555555555556,10.375
S959,4007.2727272727457,2.8139243027010226,3.299762314173711,1.7806741347856685,2.8089291656944604,1871.75,494.93333333333334,10.125
R892,3990.909090909109,3.2360246426090353,3.3214952582823005,2.2536263895132795,3.1029121341393804,1862.875,527.8666666666667,10.625
V932,3979.272727272745,2.9255698090222615,2.413724573097183,1.462953595649938,3.175548778645572,1889.375,503.2888888888889,10.25
S542,3972.727272727291,3.367288213976627,4.043682651453481,2.0426536348058226,3.427899934576326,1853.125,531.6444444444444,10.125
V449,3962.5454545454727,2.956905795335757,2.892223485282576,2.234372962779471,2.717059713578735,1946.125,496.44444444444446,10.625
D022,54.72727272727298,0.6961132832912761,-0.07006923937647405,0.27148256918467445,0.7704697134869073,37.375,11.466666666666667,3.375
K445,54.00000000000024,3.178474936243849,2.267961709289395,1.6444635837668655,3.4181395904108194,34.75,11.733333333333333,2.75
D090,53.4545454545457,0.055295515472668345,0.1529619405123348,0.04297038752476924,0.004836386695388228,36.625,10.488888888888889,2.0
A802,42.54545454545474,0.06181827139121187,-0.06218859300040272,0.09566991939477132,-0.020230420276414668,5.25,8.755555555555556,0.625
P050,0.727272727272728,1.2902132931417427,0.6823397510847367,1.0488099645554916,1.1114114330781026,0.625,1.0222222222222221,0.25
Y964,0.727272727272728,1.2603280803105341,0.8269642358034481,0.950719823985554,1.1327403869286683,0.625,0.8444444444444444,1.0
F861,0.727272727272728,1.4172254476743555,2.5298112081772164,0.6564494022757413,1.5486549870146904,0.75,0.8,0.75
M120,0.727272727272728,-0.32209393910171424,-0.30936767348297245,-0.5991043970194669,-0.11500341332939758,0.75,-0.17777777777777778,0.375
P741,0.727272727272728,-0.009793465015631846,0.6657618147137413,0.46026912113586094,-0.3602863826108993,0.375,-0.5333333333333333,0.75
L122,0.727272727272728,-0.2145071729093775,-0.19575021354781666,-1.2464993247810539,0.4608783406358632,0.5,0.6666666666666666,0.125
J309,0.727272727272728,0.9450390849413357,0.0,0.24447081188200034,1.1434048638539527,0.625,0.35555555555555557,0.375
Z490,0.727272727272728,-0.014276246940313141,-1.0555574277438475,-0.48139622833553875,0.24758880213021148,0.375,-0.08888888888888889,-0.125
R858,0.727272727272728,-0.25335794958994395,-1.0105193345657308,-0.38330608776560116,-0.15766132103052904,0.625,0.26666666666666666,-0.375
O824,0.727272727272728,-1.081178345014294,-0.15548807299894954,-1.1484091842111164,-0.8401878442486157,0.125,0.4444444444444444,0.0
O238,0.727272727272728,-0.38784140733036365,-0.9635362924123849,0.00905447451414913,-0.6055693518923982,0.5,0.17777777777777778,-0.375
M935,0.727272727272728,-0.8764646371205482,-0.2656956172163348,-0.8149027062733275,-0.765536505771637,0.75,0.4888888888888889,0.0
D135,0.727272727272728,-0.16818509302101367,0.3406018917739109,-0.4421601721075679,0.002305832848709733,0.625,0.5777777777777777,1.0
H166,0.727272727272728,1.5651572511888143,1.700399034228398,1.029191936441501,1.5166615562388432,0.75,1.0222222222222221,1.75
F301,0.727272727272728,1.7459627888176026,0.7278805458462785,1.146900105125429,1.6979576639686478,0.75,0.35555555555555557,0.625
X910,0.727272727272728,-0.1965760452106571,0.022648891992329473,-0.030181581713826944,-0.30696399798448637,0.5,0.7111111111111111,0.5
O445,0.727272727272728,0.45492159450958586,-0.7561934582536766,0.18561672754003886,0.4822072944864289,0.625,-0.5777777777777777,0.125
Y253,0.727272727272728,-0.20404734841845926,-0.41292535001527647,-0.030181581713826944,-0.3176284749097678,0.0,-0.3111111111111111,0.25
