job_title,job_hot_count,job_hot_norm,is_high_demand
bfbc45b05c5a4425210cd2cb3d84ae09GC,3357,1.0,1
c9a30a5443d04270fb0f49d437c3376bAy,2633,0.7843312481382186,1
6be068c4e74275ca8ed9975805e2f763Em,2035,0.6061960083407805,1
9e7afc7cdb61931eb7d2cc8398b80ecfSQ,2034,0.6058981233243967,1
2006631955b0aa1d8a3bc1edc55e0754sn,1874,0.5582365207030087,1
71f952e353628d7e2f40d40038b09ac2Tn,1847,0.5501936252606494,1
e5ebf2752a03d6729cb633770e4eddd7Hd,1724,0.5135537682454573,1
39a3d2b8857c48c2443faeacf50ae574Xo,1572,0.4682752457551385,1
534952ab1cf024773caddc874099da11qn,1293,0.38516532618409294,1
09b8073e6d0a727247e9bbcf43f8e75avx,1176,0.35031277926720283,1
357b6e22304e1fba993bb725e5c00276aY,1174,0.3497170092344355,1
c7f9349f001ec07fe76d0becea13a18azM,1101,0.32797140303842715,1
63c630beb7b2f471af699f711207d28aVY,1083,0.322609472743521,1
769db4ea593ce8f93a093a84ad1baec2OY,1076,0.3205242776288353,1
65e915067ec7ca2082c1bfc73ffbc06bhv,1067,0.3178433124813822,1
77f94afcb944fea2069092a4c92bab1fzk,1066,0.31754542746499853,1
cf8025d88a7ef18800686dbd36ecfae1dF,1032,0.30741733690795353,1
d4c894e72cbcba3ee54f16b94c185a4bJB,1012,0.30145963658028,1
1647ffac32b2f51cfbe51f4150246471lB,1003,0.29877867143282694,1
0cf5da7bb05dfb15718653637b8df718vT,972,0.289544235924933,1
6951495c1941499b294fcec5f33cd242wQ,922,0.2746499851057492,1
143594a38184724594778ca447bc06fcwe,919,0.27375633005659816,1
d26737bff980339cf372392e773fb063Es,900,0.2680965147453083,1
bb9685f7011f9604acad8ae63c6da0ddHn,877,0.26124515936848375,1
b33302c688b04656f05d2a96c98e14c8cK,838,0.2496276437295204,1
31e5c65f17292fdded6dd7f7d7622e5ddi,798,0.23771224307417338,1
02e22012bd6fdd7415a80c2da954d8f0hL,794,0.23652070300863867,1
c82f110050f63259dc05a34b7f3ffe5fFR,752,0.22400953232052428,1
c02aef655be4fb390a9dd9ca2443be6aUG,729,0.21715817694369974,1
4f7f001bdbae6c195a6d7ba55b98dca1pf,711,0.21179624664879357,1
e089e2787ca1f2cd11abb5b5b46da777eD,709,0.2112004766160262,1
8a6ed1d6ce11578d39635ef008e7cb2fOq,709,0.2112004766160262,1
f693da772b6ba497215104c0b3c3f571hM,703,0.20941316651772415,1
2d6d2afd6028853b0a50f674cd887f55zs,700,0.20851951146857314,1
33ed1e1a04b3fa96d01d39e545cc1f66wF,687,0.20464700625558535,1
